   DEBUG: 2024-10-31 03:21:02,764:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,765:      pdf_renderer.py:  470: printSegment: 2.4.1. venv
   ERROR: 2024-10-31 03:21:02,766:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:43: #venv: No such file or directory
   DEBUG: 2024-10-31 03:21:02,766:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,766:      pdf_renderer.py:  470: printSegment: 2.4.2. Conda env
   ERROR: 2024-10-31 03:21:02,767:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:44: #conda-env: No such file or directory
   DEBUG: 2024-10-31 03:21:02,767:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,767:      pdf_renderer.py:  470: printSegment: 2.4.3. Poetry
   ERROR: 2024-10-31 03:21:02,768:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:45: #poetry: No such file or directory
   DEBUG: 2024-10-31 03:21:02,768:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,769:      pdf_renderer.py:  470: printSegment: 2.5. Le Package Manager
   ERROR: 2024-10-31 03:21:02,769:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:46: #25-le-package-manager: No such file or directory
   DEBUG: 2024-10-31 03:21:02,769:      pdf_renderer.py:  470: printSegment: 3. Les bases
   ERROR: 2024-10-31 03:21:02,770:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:48: #3-les-bases-1: No such file or directory
   DEBUG: 2024-10-31 03:21:02,770:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,771:      pdf_renderer.py:  470: printSegment: 3.1. Les notations / particularitées syntaxique
   ERROR: 2024-10-31 03:21:02,772:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:49: #31-les-notations--particularit%C3%A9es-syntaxique: No such file or directory
   DEBUG: 2024-10-31 03:21:02,772:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,772:      pdf_renderer.py:  470: printSegment: 3.2. Les variables et ses types
   ERROR: 2024-10-31 03:21:02,773:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:50: #32-les-variables-et-ses-types: No such file or directory
   DEBUG: 2024-10-31 03:21:02,773:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,774:      pdf_renderer.py:  470: printSegment: 3.3. Les fonctions de bases
